Step,AgentID,first_odor_concentration,olfactory_activation,first_odor_concentration_change,turner_activation,turner_activity,torque,orientation_to_center,centroid_x,centroid_y,bend,front_orientation,rear_orientation,dst_to_center,scaled_dst_to_center
1,Larva_0,1.9849461753733875,0.0,0.0,1.4201813555324776,2.6413734920700636,1.082963131748726,-179.33833289758113,0.0,0.0,0.6204921681747214,180.66166710241887,180.04117493424417,0.0,0.0
2,Larva_0,1.9849461753733875,0.0,0.0,8.00731967664814,1.8253743957209525,0.7484035022455905,-178.44428424936888,0.0,0.0,1.5145408163869538,181.55571575063112,180.04117493424417,0.0,0.0
3,Larva_0,1.9849461753733875,0.0,0.0,7.699418643330382,-1.2607373971119202,-0.5169023328158873,-178.07021389228115,0.0,0.0,1.8886111734746813,181.92978610771885,180.04117493424417,0.0,0.0
4,Larva_0,1.9849461753733875,0.0,0.0,25.205763370733706,-13.576806195961225,-5.566490540344102,179.0205970066878,0.0,0.0,-1.020577927556353,179.0205970066878,180.04117493424417,0.0,0.0
5,Larva_0,1.9849461753733875,0.0,0.0,18.134302280926512,-53.37242347019004,-21.882693622777918,164.30104940686988,0.0,0.0,-15.740125527374294,164.30104940686988,180.04117493424417,0.0,0.0
6,Larva_0,1.9849461753733875,0.0,0.0,25.294653243527094,-73.0247402232557,-29.940143491534837,136.11009813130164,0.0,0.0,-43.93107680294253,136.11009813130164,180.04117493424417,0.0,0.0
7,Larva_0,1.9849461753733875,0.0,0.0,22.32494559178738,-69.93536380550721,-28.673499160257954,98.5469660324391,0.0,0.0,-81.49420890180502,98.5469660324391,180.04117493424414,0.0,0.0
8,Larva_0,1.9849461753733875,0.0,0.0,24.41364443568582,-5.758117798655156,-2.360828297448614,-180.0,0.03801781116671544,0.0992378076205624,-111.00291411016015,69.03826082408398,180.04117493424414,0.10627086349156943,0.030565111964202422
9,Larva_0,1.9830574887319499,-0.0011217997647625382,-0.0009515052170532119,8.781181518343164,-5.598133809053083,-2.295234861711764,167.61214876234044,0.1043648886021036,0.1670175092612171,-124.92932892175378,45.61195981772692,170.5412887394807,0.19694384573464144,0.05664403673559561
10,Larva_0,1.9814379481297637,-0.0020687598408604202,-0.0008166886796719982,17.019037670914482,-1.591068446211983,-0.652338062946913,156.69995111678173,0.15815671586280855,0.19524872991647266,-133.30729833530552,27.69154926228915,160.99884759759468,0.2512680109096756,0.07226849047938652
11,Larva_0,1.980655823395105,-0.002424983283840146,-0.0003947258279760378,22.105911019103303,15.043849346553468,6.167978232086922,158.14749910879158,0.2844052084035502,0.23580842706964877,-136.66641972304836,17.810589646003606,154.47700936905196,0.36944815176710344,0.1062588912211576
12,Larva_0,1.978363543773492,-0.0039985893302983974,-0.001157333644006694,28.938836264520624,10.772549736956599,4.4167453921522055,161.01640410825996,0.4331742613958135,0.2700311283848078,-126.92766951228265,12.954893029910437,139.88256254219309,0.5104475987136986,0.14681247045461507
13,Larva_0,1.975348471083735,-0.006229401764245317,-0.001524023579612775,17.688661580637376,9.794207677529872,4.015625147787247,165.52402840748843,0.6362055141817813,0.31184104433575266,-112.64239171812143,11.636169032132692,124.27856075025413,0.708521201664225,0.20378144249854782
14,Larva_0,1.9706702726097443,-0.010103250680918618,-0.0023682902244707023,16.73326186142242,4.308051954353607,1.7663013012849786,168.516586224581,0.8156209286474054,0.3489240566001648,-93.79652579093256,11.677909786229339,105.47443557716188,0.8871220302314508,0.2551497493203856
15,Larva_0,1.966131044274058,-0.013903847947057315,-0.002303393113894665,18.771847642971373,4.905087232750883,2.011085765427862,170.7560043859114,0.9133210552603367,0.37125995066933526,-78.7581065568925,12.877474151964867,91.63558070885738,0.9858951774670837,0.2835584043846523
16,Larva_0,1.9634508193266182,-0.015645391023261578,-0.0013631975118064445,22.6062857122122,4.512947500794646,1.8503084753258048,173.22501428587552,0.983067389490493,0.38975517055798614,-70.42723327468991,14.85177639770515,85.27900967239508,1.057511505968771,0.3041563465411383
17,Larva_0,1.961418799685229,-0.01669634470405648,-0.0010349226073745577,38.5616152529888,19.22729412945744,7.8831905930775505,179.321241883844,1.1075442850149404,0.4371949620576032,-60.32400534181964,20.86250552971088,81.18651087153053,1.190711458800076,0.3424666729857738
18,Larva_0,1.9575587732931163,-0.020497603948824897,-0.001967976646666257,25.694755742885633,1.4897865155600853,0.6108124713796349,-176.3001293175084,1.2497446258626033,0.5057270422252221,-48.983816366241285,25.731292666255822,74.71510903249714,1.3481919266596762,0.3877604437725852
19,Larva_0,1.9529742269128993,-0.025609485149534466,-0.002341971256630322,15.837786071609296,1.9000430437438147,0.779017647934964,-173.5664061055817,1.4997810387415464,0.649143267267848,-38.65038027634972,29.83777862584054,68.48815890219025,1.6342368694922558,0.470031307273805
20,Larva_0,1.9441004285309533,-0.036804127877920305,-0.004543735528949088,6.802655250665413,-3.757762450020115,-1.5406826045082471,-172.55903559450184,1.7229937497412318,0.7888433366735099,-27.475339743019735,32.04083266621031,59.51617240923005,1.8949884620919322,0.5450274196681064
21,Larva_0,1.9353370403597907,-0.04663369690934744,-0.004507682855553208,38.1822601606821,-0.8093521961116233,-0.33183440040576556,-171.4101073104493,1.7816274205375273,0.8276628989635931,-20.182385093994075,33.50732586574127,53.68971095973537,1.9644903002896255,0.5650172023463934
22,Larva_0,1.9329737124701838,-0.04559362457867841,-0.0012211453820816438,13.946241888727684,-2.794479610802153,-1.1457366404288827,-171.31704555371977,1.8483458524352916,0.8725880788898073,-18.592236246437462,33.95454491714834,52.546781163585806,2.0439648591977675,0.5878752907397907
23,Larva_0,1.9301243889951174,-0.045364259256237015,-0.001474062195820131,15.39410545519349,1.7284276612958278,0.7086553411312894,-171.01156219351589,1.9308386871603347,0.9297076891091288,-16.64299765193279,34.69946639129113,51.34246404322393,2.143010597972787,0.6163623472647035
24,Larva_0,1.9265135058947087,-0.04626828711664541,-0.0018708033124686997,24.33211635409612,3.1429507362890163,1.2886098018784966,-170.57156657634005,2.089703013749989,1.045127413604494,-13.998099461195384,35.99953616161278,49.99763562280816,2.336482398038428,0.67200777101146
